,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
קבוצת אגוזים וגרעינים,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת שמנים צמחיים,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
שומנים מהחי,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
מוצרי חלב לא ממותקים,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
מוצרי חלב ממותקים בסוכר,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת הבשר - עוף הודו,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת הבשר - דגים,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת הבשר - בשר בקר וצאן,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת הבשר - תחליפי בשר מהצומח,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת הסוכרים,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
ביצים,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
מוצרי חלב דל שומן,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
משקה אנרגיה,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
תחליפי בשר (לייט),⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
